condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,,above_range,1.0350343914795633e-05,0.11775210155414284,ok,,above_range,,19034.543436526274,0.35377242491969013,,
baseline,AB,ok,,above_range,1.0350343914795633e-05,0.11775210155414284,ok,,above_range,,19034.543436526274,0.35377242491969013,,
placebo,pooled,ok,,above_range,1.3023932867394955e-05,0.16539044277752557,ok,,above_range,,19034.543436526274,0.38755802510763454,,
placebo,AB,ok,,above_range,1.3023932867394955e-05,0.16539044277752557,ok,,above_range,,19034.543436526274,0.38755802510763454,,
reflection,pooled,ok,,above_range,1.3822213554046743e-05,0.19242325435101115,ok,,above_range,,19034.543436526274,0.31928734325011693,,
reflection,AB,ok,,above_range,1.3822213554046743e-05,0.19242325435101115,ok,,above_range,,19034.543436526274,0.31928734325011693,,
constitution,pooled,censored_all_zero,,above_range,,,censored_all_zero,,above_range,,,0.0,,
constitution,AB,censored_all_zero,,above_range,,,censored_all_zero,,above_range,,,0.0,,
