condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,90.49676938208573,within_range,-1.0556267940186923,0.8356346294354382,ok,92.96680428887957,within_range,,10.771845416555099,0.09792121102563252,,
baseline,AB,ok,90.49676938208573,within_range,-1.0556267940186923,0.8356346294354382,ok,92.96680428887957,within_range,,10.771845416555099,0.09792121102563252,,
placebo,pooled,ok,84.57367571281605,within_range,-1.0492953300219874,0.9999981121600959,ok,84.01875821894623,within_range,-15.558021990991861,10.771845416555099,0.0,,
placebo,AB,ok,84.57367571281605,within_range,-1.0492953300219874,0.9999981121600959,ok,84.01875821894623,within_range,-15.558021990991861,10.771845416555099,0.0,,
reflection,pooled,ok,71.50331897378167,within_range,-0.5598421849546502,0.9145672804233423,ok,72.757942396718,within_range,-14.592661980667131,10.771845416555099,0.08021423276526247,,
reflection,AB,ok,71.50331897378167,within_range,-0.5598421849546502,0.9145672804233423,ok,72.757942396718,within_range,-14.592661980667131,10.771845416555099,0.08021423276526247,,
constitution,pooled,ok,84.93339323251126,within_range,-0.26351724032979,0.862658467942006,ok,83.9387919147914,within_range,-16.974525796070054,10.771845416555099,0.10422124301984026,,
constitution,AB,ok,84.93339323251126,within_range,-0.26351724032979,0.862658467942006,ok,83.9387919147914,within_range,-16.974525796070054,10.771845416555099,0.10422124301984026,,
