condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,18960.781773801304,within_range,6.962910127917978e-05,0.5756310201967818,ok,43888.689395781366,within_range,,36463.75988859753,0.3805470405423857,,
baseline,AB,ok,18960.781773801304,within_range,6.962910127917978e-05,0.5756310201967818,ok,43888.689395781366,within_range,,36463.75988859753,0.3805470405423857,,
placebo,pooled,ok,144932.55009470848,within_range,1.1418168918696233e-05,0.28145427957631575,ok,163092.32500922994,within_range,,36463.75988859753,0.44810498273096505,,
placebo,AB,ok,144932.55009470848,within_range,1.1418168918696233e-05,0.28145427957631575,ok,163092.32500922994,within_range,,36463.75988859753,0.44810498273096505,,
reflection,pooled,ok,154786.9905872584,within_range,1.256593500539202e-05,0.3243746921292747,ok,164155.8212506995,within_range,,36463.75988859753,0.4161216833377151,,
reflection,AB,ok,154786.9905872584,within_range,1.256593500539202e-05,0.3243746921292747,ok,164155.8212506995,within_range,,36463.75988859753,0.4161216833377151,,
constitution,pooled,ok,9111.908954362007,within_range,2.3234132198468896e-05,0.30416182152024207,ok,,below_range,,36463.75988859753,0.2062651699678178,,
constitution,AB,ok,9111.908954362007,within_range,2.3234132198468896e-05,0.30416182152024207,ok,,below_range,,36463.75988859753,0.2062651699678178,,
