condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,,above_range,5.247508630168847e-16,-2.239102903089929e-09,ok,,above_range,,8971447.047036428,0.2062651699678178,,
baseline,AB,ok,,above_range,5.247508630168847e-16,-2.239102903089929e-09,ok,,above_range,,8971447.047036428,0.2062651699678178,,
placebo,pooled,ok,42812375.570328824,within_range,3.032465515906316e-08,0.1724459305445536,ok,31308309.118228294,within_range,,8971447.047036428,0.44810498273096505,,
placebo,AB,ok,42812375.570328824,within_range,3.032465515906316e-08,0.1724459305445536,ok,31308309.118228294,within_range,,8971447.047036428,0.44810498273096505,,
reflection,pooled,ok,241627.30091814697,within_range,3.0186346919763308e-05,0.8612080108893825,ok,11434715.32308803,within_range,,8971447.047036428,0.13870722777923836,,
reflection,AB,ok,241627.30091814697,within_range,3.0186346919763308e-05,0.8612080108893825,ok,11434715.32308803,within_range,,8971447.047036428,0.13870722777923836,,
constitution,pooled,ok,5966536.911468132,within_range,8.70759625709106e-07,0.8439641472796249,ok,28413834.673432246,within_range,4232826.694678683,8971447.047036428,0.1031325849839089,,
constitution,AB,ok,5966536.911468132,within_range,8.70759625709106e-07,0.8439641472796249,ok,28413834.673432246,within_range,4232826.694678683,8971447.047036428,0.1031325849839089,,
