condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,,above_range,3.999216695391905e-07,0.24486305636684713,ok,,above_range,,629520.543309043,0.09379911871785625,,
baseline,AB,ok,,above_range,3.999216695391905e-07,0.24486305636684713,ok,,above_range,,629520.543309043,0.09379911871785625,,
placebo,pooled,ok,3533834.5580032165,within_range,7.523621814883832e-07,0.5097204949449488,ok,3575847.73803087,within_range,1762263.3691852395,629520.543309043,0.24438561897747246,,
placebo,AB,ok,3533834.5580032165,within_range,7.523621814883832e-07,0.5097204949449488,ok,3575847.73803087,within_range,1762263.3691852395,629520.543309043,0.24438561897747246,,
reflection,pooled,ok,4205917.201229625,within_range,7.547112948061188e-07,0.5383234601145687,ok,4085520.047103809,within_range,,629520.543309043,0.20722145877073364,,
reflection,AB,ok,4205917.201229625,within_range,7.547112948061188e-07,0.5383234601145687,ok,4085520.047103809,within_range,,629520.543309043,0.20722145877073364,,
constitution,pooled,ok,2870394.854481278,within_range,8.107856518004107e-07,0.49617695771267,ok,2821332.9292271016,within_range,2043268.102267319,629520.543309043,0.33488879696771806,,
constitution,AB,ok,2870394.854481278,within_range,8.107856518004107e-07,0.49617695771267,ok,2821332.9292271016,within_range,2043268.102267319,629520.543309043,0.33488879696771806,,
