condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,12427.14934637183,within_range,0.0003684549824524446,0.7436353149646466,ok,12666.691564312785,within_range,6352.97568802545,3721.285803234123,0.24181084382417498,,
baseline,AB,ok,12427.14934637183,within_range,0.0003684549824524446,0.7436353149646466,ok,12666.691564312785,within_range,6352.97568802545,3721.285803234123,0.24181084382417498,,
placebo,pooled,ok,15662.542384386306,within_range,0.0005611935736786278,0.8271098677391462,ok,16160.77421422782,within_range,6058.286874130383,3721.285803234123,0.15090175291508406,,
placebo,AB,ok,15662.542384386306,within_range,0.0005611935736786278,0.8271098677391462,ok,16160.77421422782,within_range,6058.286874130383,3721.285803234123,0.15090175291508406,,
reflection,pooled,ok,19379.235812689472,within_range,0.0005253677777415158,0.8088723416612801,ok,20864.836665871648,within_range,6098.466800075952,3721.285803234123,0.15389806266745734,,
reflection,AB,ok,19379.235812689472,within_range,0.0005253677777415158,0.8088723416612801,ok,20864.836665871648,within_range,6098.466800075952,3721.285803234123,0.15389806266745734,,
constitution,pooled,ok,12626.363812321717,within_range,0.0020049024864025227,0.9117093974859377,ok,12803.313748734414,within_range,5342.984626128929,3721.285803234123,0.08826823585951532,,
constitution,AB,ok,12626.363812321717,within_range,0.0020049024864025227,0.9117093974859377,ok,12803.313748734414,within_range,5342.984626128929,3721.285803234123,0.08826823585951532,,
