condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,65.49130976062531,within_range,-0.030519667679210702,0.584125449633835,ok,85.40308383662895,within_range,-116.59072418458425,50.80993968579333,0.3043165182162005,,
baseline,AB,ok,65.49130976062531,within_range,-0.030519667679210702,0.584125449633835,ok,85.40308383662895,within_range,-116.59072418458425,50.80993968579333,0.3043165182162005,,
placebo,pooled,ok,27.5738748951983,within_range,-0.6498929032091048,0.9999983629744009,ok,25.194215840232594,within_range,,50.80993968579333,0.0,,
placebo,AB,ok,27.5738748951983,within_range,-0.6498929032091048,0.9999983629744009,ok,25.194215840232594,within_range,,50.80993968579333,0.0,,
reflection,pooled,ok,21.239786099943046,within_range,-0.42297247038351504,0.8952654876294265,ok,12.341671282369505,within_range,,50.80993968579333,0.08812908992306927,,
reflection,AB,ok,21.239786099943046,within_range,-0.42297247038351504,0.8952654876294265,ok,12.341671282369505,within_range,,50.80993968579333,0.08812908992306927,,
constitution,pooled,ok,20.562762329295865,within_range,-0.4501638936201252,0.8825560521237248,ok,7.471873072100749,within_range,,50.80993968579333,0.09709505944546686,,
constitution,AB,ok,20.562762329295865,within_range,-0.4501638936201252,0.8825560521237248,ok,7.471873072100749,within_range,,50.80993968579333,0.09709505944546686,,
