condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,78984.21285612378,within_range,6.9003636570777905e-06,0.10062478591132762,ok,77853.37240767428,within_range,,36463.75988859753,0.6935361388961919,,
baseline,AB,ok,78984.21285612378,within_range,6.9003636570777905e-06,0.10062478591132762,ok,77853.37240767428,within_range,,36463.75988859753,0.6935361388961919,,
placebo,pooled,ok,9747.198414573417,within_range,0.0010022180961732736,0.8504533820157214,ok,26257.26433942965,within_range,,36463.75988859753,0.13870722777923836,,
placebo,AB,ok,9747.198414573417,within_range,0.0010022180961732736,0.8504533820157214,ok,26257.26433942965,within_range,,36463.75988859753,0.13870722777923836,,
reflection,pooled,ok,17848.28184810158,within_range,0.0006673774710544817,0.9999985356734045,ok,44690.13650519306,within_range,67308.79291043925,36463.75988859753,0.0,,
reflection,AB,ok,17848.28184810158,within_range,0.0006673774710544817,0.9999985356734045,ok,44690.13650519306,within_range,67308.79291043925,36463.75988859753,0.0,,
constitution,pooled,ok,61375.99821161029,within_range,0.0003548217069236232,0.9999985356734045,ok,66565.92145040851,within_range,40186.836556094015,36463.75988859753,0.0,,
constitution,AB,ok,61375.99821161029,within_range,0.0003548217069236232,0.9999985356734045,ok,66565.92145040851,within_range,40186.836556094015,36463.75988859753,0.0,,
