condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,97529.00915922713,within_range,1.7159044891719122e-05,0.4601484608062343,ok,75783.57398888138,within_range,59480.27115737026,36463.75988859753,0.3093977549517267,,
baseline,AB,ok,97529.00915922713,within_range,1.7159044891719122e-05,0.4601484608062343,ok,75783.57398888138,within_range,59480.27115737026,36463.75988859753,0.3093977549517267,,
placebo,pooled,ok,10281.389827128281,within_range,0.0009003028905908309,0.8542615003358043,ok,33821.145413347724,within_range,,36463.75988859753,0.13870722777923836,,
placebo,AB,ok,10281.389827128281,within_range,0.0009003028905908309,0.8542615003358043,ok,33821.145413347724,within_range,,36463.75988859753,0.13870722777923836,,
reflection,pooled,ok,21775.845770392414,within_range,0.00010406162782207489,0.7383783739256641,ok,51995.80038349791,within_range,62580.38648535037,36463.75988859753,0.24183981276314728,,
reflection,AB,ok,21775.845770392414,within_range,0.00010406162782207489,0.7383783739256641,ok,51995.80038349791,within_range,62580.38648535037,36463.75988859753,0.24183981276314728,,
