condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,25046.059602157213,within_range,0.0001907771465071549,0.9999975616661532,ok,,below_range,,8971447.047036428,0.0,,
baseline,AB,ok,25046.059602157213,within_range,0.0001907771465071549,0.9999975616661532,ok,,below_range,,8971447.047036428,0.0,,
placebo,pooled,ok,59132.64647815842,within_range,9.216827025658086e-05,0.8745742520557274,ok,,below_range,,8971447.047036428,0.1031325849839089,,
placebo,AB,ok,59132.64647815842,within_range,9.216827025658086e-05,0.8745742520557274,ok,,below_range,,8971447.047036428,0.1031325849839089,,
reflection,pooled,ok,175305.46062851325,within_range,6.381561083824683e-05,0.9999985356734045,ok,2255884.575423692,within_range,,8971447.047036428,0.0,,
reflection,AB,ok,175305.46062851325,within_range,6.381561083824683e-05,0.9999985356734045,ok,2255884.575423692,within_range,,8971447.047036428,0.0,,
constitution,pooled,ok,241673.9255068116,within_range,3.040447918222861e-05,0.8612082986138242,ok,11434715.32308803,within_range,,8971447.047036428,0.13870722777923836,,
constitution,AB,ok,241673.9255068116,within_range,3.040447918222861e-05,0.8612082986138242,ok,11434715.32308803,within_range,,8971447.047036428,0.13870722777923836,,
