condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,1.0777814598973183,within_range,-0.189058527867313,0.2631638048248026,ok,,above_range,,2.6283208589624665,0.5045789090329574,,
baseline,AB,ok,1.0777814598973183,within_range,-0.189058527867313,0.2631638048248026,ok,,above_range,,2.6283208589624665,0.5045789090329574,,
placebo,pooled,ok,12.507387196052104,within_range,-0.4493837283465137,0.7075932029644731,ok,13.009020513735836,within_range,-5.5266768271649696,2.6283208589624665,0.2402082536590347,,
placebo,AB,ok,12.507387196052104,within_range,-0.4493837283465137,0.7075932029644731,ok,13.009020513735836,within_range,-5.5266768271649696,2.6283208589624665,0.2402082536590347,,
reflection,pooled,ok,13.750345678605257,within_range,-1.0260928704255767,0.8636074374462922,ok,14.425874696781998,within_range,-4.345045680996321,2.6283208589624665,0.10422124301984026,,
reflection,AB,ok,13.750345678605257,within_range,-1.0260928704255767,0.8636074374462922,ok,14.425874696781998,within_range,-4.345045680996321,2.6283208589624665,0.10422124301984026,,
constitution,pooled,ok,12.278226179256048,within_range,-0.40512265211011494,0.6811257931929247,ok,12.759258718890745,within_range,-5.937137058542026,2.6283208589624665,0.25791523191940474,,
constitution,AB,ok,12.278226179256048,within_range,-0.40512265211011494,0.6811257931929247,ok,12.759258718890745,within_range,-5.937137058542026,2.6283208589624665,0.25791523191940474,,
