condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,68.3836240022829,within_range,-0.025395315891923034,0.5268521946060549,ok,94.79256612421214,within_range,-120.76066174578949,50.80993968579333,0.4325147089005418,,
baseline,AB,ok,68.3836240022829,within_range,-0.025395315891923034,0.5268521946060549,ok,94.79256612421214,within_range,-120.76066174578949,50.80993968579333,0.4325147089005418,,
placebo,pooled,ok,42.60445757750941,within_range,-0.11742928769752696,0.8505602894926978,ok,59.18616872360517,within_range,,50.80993968579333,0.14438561897747246,,
placebo,AB,ok,42.60445757750941,within_range,-0.11742928769752696,0.8505602894926978,ok,59.18616872360517,within_range,,50.80993968579333,0.14438561897747246,,
reflection,pooled,ok,34.99999571104246,within_range,-0.31709645828085575,0.8929400295291429,ok,43.26567818274559,within_range,,50.80993968579333,0.1,,
reflection,AB,ok,34.99999571104246,within_range,-0.31709645828085575,0.8929400295291429,ok,43.26567818274559,within_range,,50.80993968579333,0.1,,
constitution,pooled,ok,34.99998050356676,within_range,-0.316902528125007,0.8929400295273571,ok,43.26567818274559,within_range,,50.80993968579333,0.1,,
constitution,AB,ok,34.99998050356676,within_range,-0.316902528125007,0.8929400295273571,ok,43.26567818274559,within_range,,50.80993968579333,0.1,,
