condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,47946.59232814242,within_range,1.97671677605678e-05,0.3953941412075458,ok,57310.619468626464,within_range,73019.4451032114,36463.75988859753,0.44810498273096505,,
baseline,AB,ok,47946.59232814242,within_range,1.97671677605678e-05,0.3953941412075458,ok,57310.619468626464,within_range,73019.4451032114,36463.75988859753,0.44810498273096505,,
placebo,pooled,ok,16431.136586670968,within_range,0.00012130494157341847,0.7077690913087078,ok,41436.00909906365,within_range,,36463.75988859753,0.24183981276314728,,
placebo,AB,ok,16431.136586670968,within_range,0.00012130494157341847,0.7077690913087078,ok,41436.00909906365,within_range,,36463.75988859753,0.24183981276314728,,
reflection,pooled,ok,5253.062537878155,within_range,0.0010013521169221285,0.8211396510380892,ok,,below_range,,36463.75988859753,0.13870722777923836,,
reflection,AB,ok,5253.062537878155,within_range,0.0010013521169221285,0.8211396510380892,ok,,below_range,,36463.75988859753,0.13870722777923836,,
