condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,464401.8146915531,within_range,1.3512718797002208e-06,0.3926701335070558,ok,375640.6337751929,within_range,,629520.543309043,0.28838023778186744,,
baseline,AB,ok,464401.8146915531,within_range,1.3512718797002208e-06,0.3926701335070558,ok,375640.6337751929,within_range,,629520.543309043,0.28838023778186744,,
placebo,pooled,ok,178033.6868544477,within_range,1.2385313349324157e-05,0.7963604908630274,ok,,below_range,,629520.543309043,0.14438561897747246,,
placebo,AB,ok,178033.6868544477,within_range,1.2385313349324157e-05,0.7963604908630274,ok,,below_range,,629520.543309043,0.14438561897747246,,
reflection,pooled,ok,290189.80281783454,within_range,2.2478322780689018e-06,0.4565833985863039,ok,,below_range,,629520.543309043,0.30102057748858985,,
reflection,AB,ok,290189.80281783454,within_range,2.2478322780689018e-06,0.4565833985863039,ok,,below_range,,629520.543309043,0.30102057748858985,,
constitution,pooled,ok,462395.65889340197,within_range,2.2380939550759953e-05,0.9201729454995805,ok,473687.7096636945,within_range,,629520.543309043,0.07219280948873623,,
constitution,AB,ok,462395.65889340197,within_range,2.2380939550759953e-05,0.9201729454995805,ok,473687.7096636945,within_range,,629520.543309043,0.07219280948873623,,
