condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,21894.070929480542,within_range,4.784548248284981e-05,0.5165616326755992,ok,45825.8797887586,within_range,,36463.75988859753,0.3805470405423857,,
baseline,AB,ok,21894.070929480542,within_range,4.784548248284981e-05,0.5165616326755992,ok,45825.8797887586,within_range,,36463.75988859753,0.3805470405423857,,
placebo,pooled,ok,8809.035111321187,within_range,0.00025607149131307217,0.7267466440585819,ok,16945.59628227229,within_range,,36463.75988859753,0.24183981276314728,,
placebo,AB,ok,8809.035111321187,within_range,0.00025607149131307217,0.7267466440585819,ok,16945.59628227229,within_range,,36463.75988859753,0.24183981276314728,,
reflection,pooled,ok,20037.26166722075,within_range,8.904694007230486e-05,0.6625386211534243,ok,48067.61588850302,within_range,,36463.75988859753,0.2774144555584767,,
reflection,AB,ok,20037.26166722075,within_range,8.904694007230486e-05,0.6625386211534243,ok,48067.61588850302,within_range,,36463.75988859753,0.2774144555584767,,
constitution,pooled,ok,7535.424969495252,within_range,0.0003514831990652345,0.7598780549286467,ok,4014.0394584135897,within_range,,36463.75988859753,0.2062651699678178,,
constitution,AB,ok,7535.424969495252,within_range,0.0003514831990652345,0.7598780549286467,ok,4014.0394584135897,within_range,,36463.75988859753,0.2062651699678178,,
