condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,22855.401121253693,within_range,0.0001593326850249606,0.4835680128933424,ok,21706.331640814537,within_range,,5205.857265138608,0.3805470405423857,,
baseline,AB,ok,22855.401121253693,within_range,0.0001593326850249606,0.4835680128933424,ok,21706.331640814537,within_range,,5205.857265138608,0.3805470405423857,,
placebo,pooled,ok,17802.79733308918,within_range,0.0002258292524887919,0.6734854841982284,ok,16890.741646642782,within_range,8284.015233507855,5205.857265138608,0.2062651699678178,,
placebo,AB,ok,17802.79733308918,within_range,0.0002258292524887919,0.6734854841982284,ok,16890.741646642782,within_range,8284.015233507855,5205.857265138608,0.2062651699678178,,
reflection,pooled,ok,27535.46534043589,within_range,0.00035152211036368623,0.6497133635195689,ok,29671.827390207658,within_range,,5205.857265138608,0.2062651699678178,,
reflection,AB,ok,27535.46534043589,within_range,0.00035152211036368623,0.6497133635195689,ok,29671.827390207658,within_range,,5205.857265138608,0.2062651699678178,,
