condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,,below_range,-0.2892251594286327,0.30552468228500407,ok,,above_range,,2.6283208589624665,0.3381294646846672,,
baseline,AB,ok,,below_range,-0.2892251594286327,0.30552468228500407,ok,,above_range,,2.6283208589624665,0.3381294646846672,,
placebo,pooled,ok,6.649721137465539,within_range,-0.5356837629568882,0.7680710947821969,ok,6.846654736995806,within_range,-3.8889024574598308,2.6283208589624665,0.2125390870404451,,
placebo,AB,ok,6.649721137465539,within_range,-0.5356837629568882,0.7680710947821969,ok,6.846654736995806,within_range,-3.8889024574598308,2.6283208589624665,0.2125390870404451,,
reflection,pooled,ok,4.124084544947321,within_range,-0.7018969934014632,0.7560876667727334,ok,4.540794051598829,within_range,-4.318869882911899,2.6283208589624665,0.1323248542751826,,
reflection,AB,ok,4.124084544947321,within_range,-0.7018969934014632,0.7560876667727334,ok,4.540794051598829,within_range,-4.318869882911899,2.6283208589624665,0.1323248542751826,,
constitution,pooled,ok,3.2567819485074043,within_range,-1.2519228500852704,0.8191298154602067,ok,4.081185641197135,within_range,-4.6511039202154,2.6283208589624665,0.15003183253555263,,
constitution,AB,ok,3.2567819485074043,within_range,-1.2519228500852704,0.8191298154602067,ok,4.081185641197135,within_range,-4.6511039202154,2.6283208589624665,0.15003183253555263,,
