condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,11547.553647147744,within_range,0.00013836923179785915,0.38209762959350757,ok,9260.49047626728,within_range,13219.581083852336,3721.285803234123,0.5103113426367231,,
baseline,AB,ok,11547.553647147744,within_range,0.00013836923179785915,0.38209762959350757,ok,9260.49047626728,within_range,13219.581083852336,3721.285803234123,0.5103113426367231,,
placebo,pooled,ok,13269.157417752627,within_range,0.00018893765994337696,0.5182322004908736,ok,11972.213484712996,within_range,11171.78034877483,3721.285803234123,0.4223985614800055,,
placebo,AB,ok,13269.157417752627,within_range,0.00018893765994337696,0.5182322004908736,ok,11972.213484712996,within_range,11171.78034877483,3721.285803234123,0.4223985614800055,,
reflection,pooled,ok,22700.193327313085,within_range,0.0001712253739015587,0.512383496561414,ok,23731.935931152573,within_range,7802.254216879308,3721.285803234123,0.3392848972521146,,
reflection,AB,ok,22700.193327313085,within_range,0.0001712253739015587,0.512383496561414,ok,23731.935931152573,within_range,7802.254216879308,3721.285803234123,0.3392848972521146,,
constitution,pooled,ok,19085.43714885033,within_range,0.00021563278705754115,0.6001355256742438,ok,18768.089347944144,within_range,8783.025185420469,3721.285803234123,0.25629837149175044,,
constitution,AB,ok,19085.43714885033,within_range,0.00021563278705754115,0.6001355256742438,ok,18768.089347944144,within_range,8783.025185420469,3721.285803234123,0.25629837149175044,,
