condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,,above_range,1.5034948421827224e-05,0.2109214095799683,ok,,above_range,,21864.94873365734,0.15389806266745734,,
baseline,AB,ok,,above_range,1.5034948421827224e-05,0.2109214095799683,ok,,above_range,,21864.94873365734,0.15389806266745734,,
placebo,pooled,ok,101485.6881785522,within_range,1.2692485637780283e-05,0.14398024119102926,ok,77724.30523272313,within_range,,21864.94873365734,0.6382306597214028,,
placebo,AB,ok,101485.6881785522,within_range,1.2692485637780283e-05,0.14398024119102926,ok,77724.30523272313,within_range,,21864.94873365734,0.6382306597214028,,
reflection,pooled,ok,59119.96826867198,within_range,2.6495250421232216e-05,0.4049960497957895,ok,51920.37888898255,within_range,48884.96944240641,21864.94873365734,0.330434534386488,,
reflection,AB,ok,59119.96826867198,within_range,2.6495250421232216e-05,0.4049960497957895,ok,51920.37888898255,within_range,48884.96944240641,21864.94873365734,0.330434534386488,,
constitution,pooled,ok,49307.0719829349,within_range,0.000101837496829101,0.7727475685593002,ok,53956.69439505938,within_range,38472.52056088509,21864.94873365734,0.21952788947539936,,
constitution,AB,ok,49307.0719829349,within_range,0.000101837496829101,0.7727475685593002,ok,53956.69439505938,within_range,38472.52056088509,21864.94873365734,0.21952788947539936,,
