condition,order_scope,probit_fit_status,probit_midpoint_native,probit_midpoint_position,probit_slope,probit_pseudo_r2,kernel_fit_status,kernel_midpoint_native,kernel_midpoint_position,kernel_transition_width_native,kernel_bandwidth_transformed,mean_entropy,probit_order_gap,kernel_order_gap
baseline,pooled,ok,,above_range,1.7486614643320027e-15,-2.89840307310385e-09,ok,,above_range,,8971447.047036428,0.13870722777923836,,
baseline,AB,ok,,above_range,1.7486614643320027e-15,-2.89840307310385e-09,ok,,above_range,,8971447.047036428,0.13870722777923836,,
placebo,pooled,ok,44346669.24094193,within_range,4.206131468652953e-08,0.3701013506762707,ok,31448556.091701034,within_range,,8971447.047036428,0.24183981276314728,,
placebo,AB,ok,44346669.24094193,within_range,4.206131468652953e-08,0.3701013506762707,ok,31448556.091701034,within_range,,8971447.047036428,0.24183981276314728,,
reflection,pooled,ok,4772926.8062494965,within_range,1.115707776171359e-06,0.8211396514023186,ok,27379483.969384488,within_range,7616442.669715736,8971447.047036428,0.13870722777923836,,
reflection,AB,ok,4772926.8062494965,within_range,1.115707776171359e-06,0.8211396514023186,ok,27379483.969384488,within_range,7616442.669715736,8971447.047036428,0.13870722777923836,,
constitution,pooled,ok,25772415.915863805,within_range,4.062512226623201e-08,0.23155645314107598,ok,27844681.35037967,within_range,14931434.996171035,8971447.047036428,0.44810498273096505,,
constitution,AB,ok,25772415.915863805,within_range,4.062512226623201e-08,0.23155645314107598,ok,27844681.35037967,within_range,14931434.996171035,8971447.047036428,0.44810498273096505,,
